route_id,route_short_name,category,town,source
9011007000100000,1,Växjö city lines,Växjö,"local knowledge (Marcus), 2026-09-23"
9011007000200000,2,Växjö city lines,Växjö,"local knowledge (Marcus), 2026-09-23"
9011007000300000,3,Växjö city lines,Växjö,"local knowledge (Marcus), 2026-09-23"
9011007000400000,4,Växjö city lines,Växjö,"local knowledge (Marcus), 2026-09-23"
9011007000500000,5,Växjö city lines,Växjö,"local knowledge (Marcus), 2026-09-23"
9011007000600000,6,Växjö city lines,Växjö,"local knowledge (Marcus), 2026-09-23"
9011007000700000,7,Växjö city lines,Växjö,"local knowledge (Marcus), 2026-09-23"
9011007000800000,8,Växjö city lines,Växjö,"local knowledge (Marcus), 2026-09-23"
9011007000900000,9,Växjö city lines,Växjö,"local knowledge (Marcus), 2026-09-23"
9011007001200000,12,Växjö city lines,Växjö,"local knowledge (Marcus), 2026-09-23"
9011007003500000,12,Växjö city lines,Växjö,"local knowledge (Marcus), 2026-09-23"
9011007001400000,14,Växjö city lines,Växjö,"local knowledge (Marcus), 2026-09-23"
9011007003700000,14,Växjö city lines,Växjö,"local knowledge (Marcus), 2026-09-23"
9011007001500000,15,Växjö city lines,Växjö,"local knowledge (Marcus), 2026-09-23"
9011007003200000,1,Other town lines,Älmhult,"local knowledge (Marcus), 2026-09-23"
9011007003300000,2,Other town lines,Älmhult,"local knowledge (Marcus), 2026-09-23"
9011007003400000,3,Other town lines,Älmhult,"local knowledge (Marcus), 2026-09-23"
9011007003000000,31,Other town lines,Älmhult,"local knowledge (Marcus), 2026-09-23"
9011007003100000,31,Other town lines,Älmhult,"local knowledge (Marcus), 2026-09-23"
9011007004100000,1,Other town lines,Alvesta,"local knowledge (Marcus), 2026-09-23"
9011007005100000,51,Other town lines,Tingsryd,"local knowledge (Marcus), 2026-09-23"
9011007005200000,52,Other town lines,Tingsryd,"local knowledge (Marcus), 2026-09-23"
9011007006800000,68,Other town lines,Ljungby,"local knowledge (Marcus), 2026-09-23"
9011007006900000,69,Other town lines,Ljungby,"local knowledge (Marcus), 2026-09-23"
9011007010600000,106,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007011100000,111,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007011300000,113,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007011400000,114,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007012300000,123,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007012900000,129,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007013000000,130,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007013900000,139,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007014000000,140,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007014100000,141,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007014200000,142,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007014300000,143,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007014400000,144,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007014500000,145,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007014600000,146,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007014700000,147,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007014800000,148,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007014900000,149,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007015000000,150,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007015300000,153,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007015400000,154,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007015700000,157,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007017500000,175,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007021500000,215,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007021600000,216,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007021700000,217,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007021800000,218,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007021900000,219,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007022000000,220,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007024000000,240,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
9011007024100000,241,Regional lines,,"number convention 100–699 and 800–899, checked against route structure 2026-09-23"
